"concept_id","found_from","concept_name","domain_id","vocabulary_id","standard_concept"
1633995,"From initial search","IRS-modified TNM stage 3","Measurement","Cancer Modifier","standard"
4123155,"From initial search","Lung stage L3","Measurement","SNOMED","standard"
1633314,"From initial search","AJCC/UICC 8th Stage 3A","Measurement","Cancer Modifier","standard"
1633356,"From initial search","Stage 3E","Measurement","Cancer Modifier","standard"
1633362,"From initial search","Stage 3D","Measurement","Cancer Modifier","standard"
1633381,"From initial search","AJCC/UICC post therapy pathological Stage 3A","Measurement","Cancer Modifier","standard"
1633382,"From initial search","AJCC/UICC 7th Stage 3","Measurement","Cancer Modifier","standard"
1633389,"From initial search","AJCC/UICC 8th post therapy pathological Stage 3D","Measurement","Cancer Modifier","standard"
1633431,"From initial search","AJCC/UICC Stage 3D","Measurement","Cancer Modifier","standard"
1633462,"From initial search","AJCC/UICC 8th Stage 3","Measurement","Cancer Modifier","standard"
1633490,"From initial search","AJCC/UICC 8th post therapy clinical Stage 3A","Measurement","Cancer Modifier","standard"
1633499,"From initial search","AJCC/UICC 6th pathological Stage 3","Measurement","Cancer Modifier","standard"
1633519,"From initial search","AJCC/UICC pathological Stage 3A","Measurement","Cancer Modifier","standard"
1633536,"From initial search","AJCC/UICC 7th pathological Stage 3D","Measurement","Cancer Modifier","standard"
1633559,"From initial search","AJCC/UICC 7th post therapy clinical Stage 3","Measurement","Cancer Modifier","standard"
1633561,"From initial search","AJCC/UICC 7th clinical Stage 3A","Measurement","Cancer Modifier","standard"
1633602,"From initial search","AJCC/UICC 6th post therapy clinical Stage 3C","Measurement","Cancer Modifier","standard"
1633632,"From initial search","AJCC/UICC 6th post therapy pathological Stage 3D","Measurement","Cancer Modifier","standard"
1633636,"From initial search","AJCC/UICC 8th pathological Stage 3A","Measurement","Cancer Modifier","standard"
1633650,"From initial search","AJCC/UICC Stage 3","Measurement","Cancer Modifier","standard"
1633654,"From initial search","AJCC/UICC 7th post therapy clinical Stage 3C","Measurement","Cancer Modifier","standard"
1633694,"From initial search","AJCC/UICC 7th post therapy clinical Stage 3B","Measurement","Cancer Modifier","standard"
1633736,"From initial search","AJCC/UICC 8th pathological Stage 3C","Measurement","Cancer Modifier","standard"
1633759,"From initial search","AJCC/UICC 6th pathological Stage 3B","Measurement","Cancer Modifier","standard"
1633773,"From initial search","AJCC/UICC 8th Stage 3D","Measurement","Cancer Modifier","standard"
1633794,"From initial search","AJCC/UICC post therapy pathological Stage 3D","Measurement","Cancer Modifier","standard"
1633837,"From initial search","AJCC/UICC post therapy pathological Stage 3","Measurement","Cancer Modifier","standard"
1633865,"From initial search","AJCC/UICC post therapy clinical Stage 3A","Measurement","Cancer Modifier","standard"
1633868,"From initial search","AJCC/UICC 8th post therapy pathological Stage 3B","Measurement","Cancer Modifier","standard"
1633878,"From initial search","Stage 3ES","Measurement","Cancer Modifier","standard"
1633957,"From initial search","AJCC/UICC 7th Stage 3C","Measurement","Cancer Modifier","standard"
1633965,"From initial search","Stage 3A","Measurement","Cancer Modifier","standard"
1634006,"From initial search","AJCC/UICC 8th clinical Stage 3B","Measurement","Cancer Modifier","standard"
1634007,"From initial search","AJCC/UICC 6th post therapy pathological Stage 3","Measurement","Cancer Modifier","standard"
1634078,"From initial search","AJCC/UICC 6th Stage 3A","Measurement","Cancer Modifier","standard"
1634091,"From initial search","AJCC/UICC 6th post therapy clinical Stage 3","Measurement","Cancer Modifier","standard"
1634106,"From initial search","AJCC/UICC 8th post therapy clinical Stage 3B","Measurement","Cancer Modifier","standard"
1634135,"From initial search","AJCC/UICC 6th pathological Stage 3D","Measurement","Cancer Modifier","standard"
1634150,"From initial search","AJCC/UICC Stage 3C","Measurement","Cancer Modifier","standard"
1634175,"From initial search","Stage 3B","Measurement","Cancer Modifier","standard"
1634191,"From initial search","Stage 3","Measurement","Cancer Modifier","standard"
1634201,"From initial search","AJCC/UICC 7th post therapy pathological Stage 3C","Measurement","Cancer Modifier","standard"
1634214,"From initial search","AJCC/UICC post therapy clinical Stage 3B","Measurement","Cancer Modifier","standard"
1634284,"From initial search","AJCC/UICC 6th post therapy clinical Stage 3D","Measurement","Cancer Modifier","standard"
1634297,"From initial search","AJCC/UICC clinical Stage 3D","Measurement","Cancer Modifier","standard"
1634299,"From initial search","AJCC/UICC 7th pathological Stage 3C","Measurement","Cancer Modifier","standard"
1634337,"From initial search","AJCC/UICC 8th post therapy clinical Stage 3","Measurement","Cancer Modifier","standard"
1634348,"From initial search","AJCC/UICC 7th clinical Stage 3B","Measurement","Cancer Modifier","standard"
1634395,"From initial search","AJCC/UICC 8th Stage 3B","Measurement","Cancer Modifier","standard"
1634398,"From initial search","AJCC/UICC 6th post therapy pathological Stage 3C","Measurement","Cancer Modifier","standard"
1634410,"From initial search","AJCC/UICC 7th post therapy pathological Stage 3A","Measurement","Cancer Modifier","standard"
1634411,"From initial search","AJCC/UICC Stage 3B","Measurement","Cancer Modifier","standard"
1634423,"From initial search","AJCC/UICC 8th post therapy pathological Stage 3A","Measurement","Cancer Modifier","standard"
1634507,"From initial search","AJCC/UICC 8th post therapy pathological Stage 3","Measurement","Cancer Modifier","standard"
1634548,"From initial search","Durie/Salmon Stage 3","Measurement","Cancer Modifier","standard"
1634571,"From initial search","AJCC/UICC clinical Stage 3C","Measurement","Cancer Modifier","standard"
1634596,"From initial search","AJCC/UICC 8th clinical Stage 3","Measurement","Cancer Modifier","standard"
1634603,"From initial search","AJCC/UICC 7th Stage 3A","Measurement","Cancer Modifier","standard"
1634610,"From initial search","AJCC/UICC 6th Stage 3","Measurement","Cancer Modifier","standard"
1634612,"From initial search","AJCC/UICC 8th pathological Stage 3B","Measurement","Cancer Modifier","standard"
1634644,"From initial search","AJCC/UICC 7th post therapy pathological Stage 3D","Measurement","Cancer Modifier","standard"
1634694,"From initial search","AJCC/UICC 7th clinical Stage 3D","Measurement","Cancer Modifier","standard"
1634705,"From initial search","AJCC/UICC 8th pathological Stage 3","Measurement","Cancer Modifier","standard"
1634726,"From initial search","AJCC/UICC 6th post therapy clinical Stage 3B","Measurement","Cancer Modifier","standard"
1634759,"From initial search","AJCC/UICC 8th pathological Stage 3D","Measurement","Cancer Modifier","standard"
1634789,"From initial search","AJCC/UICC pathological Stage 3B","Measurement","Cancer Modifier","standard"
1634803,"From initial search","AJCC/UICC 6th post therapy pathological Stage 3B","Measurement","Cancer Modifier","standard"
1634811,"From initial search","AJCC/UICC 8th clinical Stage 3C","Measurement","Cancer Modifier","standard"
1634833,"From initial search","AJCC/UICC 8th post therapy pathological Stage 3C","Measurement","Cancer Modifier","standard"
1634835,"From initial search","AJCC/UICC 7th post therapy clinical Stage 3A","Measurement","Cancer Modifier","standard"
1634842,"From initial search","AJCC/UICC 7th pathological Stage 3A","Measurement","Cancer Modifier","standard"
1634850,"From initial search","AJCC/UICC post therapy clinical Stage 3","Measurement","Cancer Modifier","standard"
1634876,"From initial search","AJCC/UICC clinical Stage 3","Measurement","Cancer Modifier","standard"
1634910,"From initial search","AJCC/UICC 8th post therapy clinical Stage 3C","Measurement","Cancer Modifier","standard"
1634911,"From initial search","AJCC/UICC 7th Stage 3B","Measurement","Cancer Modifier","standard"
1634918,"From initial search","AJCC/UICC pathological Stage 3D","Measurement","Cancer Modifier","standard"
1634922,"From initial search","AJCC/UICC clinical Stage 3A","Measurement","Cancer Modifier","standard"
1634924,"From initial search","AJCC/UICC 6th post therapy pathological Stage 3A","Measurement","Cancer Modifier","standard"
1634947,"From initial search","AJCC/UICC 7th pathological Stage 3","Measurement","Cancer Modifier","standard"
1634996,"From initial search","AJCC/UICC 6th clinical Stage 3A","Measurement","Cancer Modifier","standard"
1635031,"From initial search","AJCC/UICC 6th clinical Stage 3D","Measurement","Cancer Modifier","standard"
1635063,"From initial search","AJCC/UICC 7th post therapy pathological Stage 3","Measurement","Cancer Modifier","standard"
1635125,"From initial search","AJCC/UICC 7th clinical Stage 3","Measurement","Cancer Modifier","standard"
1635126,"From initial search","AJCC/UICC 8th Stage 3C","Measurement","Cancer Modifier","standard"
1635214,"From initial search","AJCC/UICC 6th clinical Stage 3C","Measurement","Cancer Modifier","standard"
1635221,"From initial search","AJCC/UICC 7th post therapy clinical Stage 3D","Measurement","Cancer Modifier","standard"
1635238,"From initial search","AJCC/UICC 6th Stage 3B","Measurement","Cancer Modifier","standard"
1635265,"From initial search","AJCC/UICC 8th clinical Stage 3A","Measurement","Cancer Modifier","standard"
1635272,"From initial search","AJCC/UICC 6th Stage 3C","Measurement","Cancer Modifier","standard"
1635286,"From initial search","AJCC/UICC post therapy clinical Stage 3D","Measurement","Cancer Modifier","standard"
1635289,"From initial search","Masaoka_Koga Stage 3","Measurement","Cancer Modifier","standard"
1635305,"From initial search","Stage 3C","Measurement","Cancer Modifier","standard"
1635324,"From initial search","AJCC/UICC 8th post therapy clinical Stage 3D","Measurement","Cancer Modifier","standard"
1635325,"From initial search","AJCC/UICC post therapy pathological Stage 3C","Measurement","Cancer Modifier","standard"
1635330,"From initial search","AJCC/UICC 6th Stage 3D","Measurement","Cancer Modifier","standard"
1635363,"From initial search","Stage 3S","Measurement","Cancer Modifier","standard"
1635372,"From initial search","AJCC/UICC pathological Stage 3C","Measurement","Cancer Modifier","standard"
1635425,"From initial search","AJCC/UICC 7th post therapy pathological Stage 3B","Measurement","Cancer Modifier","standard"
1635435,"From initial search","AJCC/UICC 7th Stage 3D","Measurement","Cancer Modifier","standard"
