"cdm_name","result_type","package_name","package_version","group_name","group_level","strata_name","strata_level","variable_name","variable_level","estimate_name","estimate_type","estimate_value","additional_name","Description","Concept ID","codelist"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","74582","cs","overall","Record count","overall","count","integer","36614","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of rectum","74582","anal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","196359","cs","overall","Record count","overall","count","integer","14798","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of uterine cervix","196359","anal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","434592","cs","overall","Record count","overall","count","integer","6761","standard_concept_name ; standard_concept_id","B-cell lymphoma (clinical)","434592","anal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","442131","cs","overall","Record count","overall","count","integer","3819","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of head","442131","anal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4038835","cs","overall","Record count","overall","count","integer","13148","standard_concept_name ; standard_concept_id","Hodgkin's disease (clinical)","4038835","anal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4094548","cs","overall","Record count","overall","count","integer","1077","standard_concept_name ; standard_concept_id","Extramedullary plasmacytoma","4094548","anal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4147164","cs","overall","Record count","overall","count","integer","456","standard_concept_name ; standard_concept_id","Malignant tumor of lymphoid hemopoietic and related tissue","4147164","anal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4225982","cs","overall","Record count","overall","count","integer","670","standard_concept_name ; standard_concept_id","Mature T-cell AND/OR NK cell neoplasm","4225982","anal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4278365","cs","overall","Record count","overall","count","integer","957","standard_concept_name ; standard_concept_id","Langerhans cell histiocytosis","4278365","anal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","74582","cs","overall","Person count","overall","count","integer","7776","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of rectum","74582","anal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","196359","cs","overall","Person count","overall","count","integer","5644","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of uterine cervix","196359","anal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","434592","cs","overall","Person count","overall","count","integer","1625","standard_concept_name ; standard_concept_id","B-cell lymphoma (clinical)","434592","anal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","442131","cs","overall","Person count","overall","count","integer","524","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of head","442131","anal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4038835","cs","overall","Person count","overall","count","integer","3854","standard_concept_name ; standard_concept_id","Hodgkin's disease (clinical)","4038835","anal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4094548","cs","overall","Person count","overall","count","integer","177","standard_concept_name ; standard_concept_id","Extramedullary plasmacytoma","4094548","anal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4147164","cs","overall","Person count","overall","count","integer","155","standard_concept_name ; standard_concept_id","Malignant tumor of lymphoid hemopoietic and related tissue","4147164","anal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4225982","cs","overall","Person count","overall","count","integer","163","standard_concept_name ; standard_concept_id","Mature T-cell AND/OR NK cell neoplasm","4225982","anal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4278365","cs","overall","Person count","overall","count","integer","202","standard_concept_name ; standard_concept_id","Langerhans cell histiocytosis","4278365","anal_cancer"
