"concept_id","found_from","concept_name","domain_id","vocabulary_id","standard_concept"
198984,"From initial search","Malignant tumor of cervix","Condition","SNOMED","standard"
36527277,"From initial search","Malignant peripheral nerve sheath tumor, NOS, of exocervix","Condition","ICDO3","standard"
36529122,"From initial search","Solitary fibrous tumor, malignant of cervix uteri","Condition","ICDO3","standard"
36530971,"From initial search","Malignant peripheral nerve sheath tumor, NOS, of overlapping lesion of cervix uteri","Condition","ICDO3","standard"
36563823,"From initial search","Malignant peripheral nerve sheath tumor, NOS, of cervix uteri","Condition","ICDO3","standard"
36549835,"From initial search","Malignant peripheral nerve sheath tumor, NOS, of endocervix","Condition","ICDO3","standard"
36549839,"From initial search","Solitary fibrous tumor, malignant of exocervix","Condition","ICDO3","standard"
36552380,"From initial search","Solitary fibrous tumor, malignant of overlapping lesion of cervix uteri","Condition","ICDO3","standard"
4201484,"From initial search","Local recurrence of malignant tumor of cervix","Condition","SNOMED","standard"
36543067,"From initial search","Solitary fibrous tumor, malignant of endocervix","Condition","ICDO3","standard"
196359,"From descendants","Primary malignant neoplasm of uterine cervix","Condition","SNOMED","standard"
436358,"From descendants","Primary malignant neoplasm of exocervix","Condition","SNOMED","standard"
441805,"From descendants","Primary malignant neoplasm of endocervix","Condition","SNOMED","standard"
608065,"From descendants","Peripheral neuroectodermal neoplasm of cervix uteri","Condition","SNOMED","standard"
4003682,"From descendants","Overlapping malignant neoplasm of uterine cervix","Condition","SNOMED","standard"
4047649,"From descendants","Endocervical adenocarcinoma","Condition","SNOMED","standard"
4092514,"From descendants","Malignant neoplasm of endocervical gland","Condition","SNOMED","standard"
4092515,"From descendants","Malignant neoplasm, overlapping lesion of cervix uteri","Condition","SNOMED","standard"
4095156,"From descendants","Malignant neoplasm of endocervical canal","Condition","SNOMED","standard"
4095158,"From descendants","Malignant neoplasm of squamocolumnar junction of cervix","Condition","SNOMED","standard"
4095746,"From descendants","Malignant neoplasm of cervical stump","Condition","SNOMED","standard"
4110872,"From descendants","Adenocarcinoma of cervix","Condition","SNOMED","standard"
4112314,"From descendants","Carcinoma of cervix","Condition","SNOMED","standard"
4116080,"From descendants","Squamous cell carcinoma of cervix","Condition","SNOMED","standard"
4116081,"From descendants","Adenosquamous carcinoma of cervix","Condition","SNOMED","standard"
4116082,"From descendants","Carcinoma of cervix stage 0","Condition","SNOMED","standard"
4157449,"From descendants","Malignant neoplasm of endocervix","Condition","SNOMED","standard"
4157450,"From descendants","Carcinoma of exocervix","Condition","SNOMED","standard"
4162134,"From descendants","Carcinoma of endocervix","Condition","SNOMED","standard"
4162876,"From descendants","Malignant neoplasm of exocervix","Condition","SNOMED","standard"
4216500,"From descendants","Anaplasia of cervix","Condition","SNOMED","standard"
4281020,"From descendants","Malignant tumor involving uterine cervix by direct extension from ovary","Condition","SNOMED","standard"
4283742,"From descendants","Malignant tumor involving uterine cervix by direct extension from vagina","Condition","SNOMED","standard"
4289673,"From descendants","Malignant tumor involving uterine cervix by direct extension from fallopian tube","Condition","SNOMED","standard"
4294181,"From descendants","Adenoma malignum","Condition","SNOMED","standard"
4310575,"From descendants","Carcinoma of uterine cervix, invasive","Condition","SNOMED","standard"
35621807,"From descendants","Adenoid basal carcinoma of cervix uteri","Condition","SNOMED","standard"
35621808,"From descendants","Adenoid cystic carcinoma of cervix uteri","Condition","SNOMED","standard"
