"cdm_name","result_type","package_name","package_version","group_name","group_level","strata_name","strata_level","variable_name","variable_level","estimate_name","estimate_type","estimate_value","additional_name","Description","Concept ID","codelist"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","192367","cs","overall","Record count","overall","count","integer","9364","standard_concept_name ; standard_concept_id","Dysplasia of cervix","192367","cervical_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","194611","cs","overall","Record count","overall","count","integer","2919","standard_concept_name ; standard_concept_id","Carcinoma in situ of uterine cervix","194611","cervical_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","432851","cs","overall","Record count","overall","count","integer","1212","standard_concept_name ; standard_concept_id","Secondary malignant neoplastic disease","432851","cervical_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","434592","cs","overall","Record count","overall","count","integer","6761","standard_concept_name ; standard_concept_id","B-cell lymphoma (clinical)","434592","cervical_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","442781","cs","overall","Record count","overall","count","integer","4150","standard_concept_name ; standard_concept_id","Disorder of uterine cervix","442781","cervical_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4003830","cs","overall","Record count","overall","count","integer","1245","standard_concept_name ; standard_concept_id","Diffuse non-Hodgkin's lymphoma","4003830","cervical_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4038835","cs","overall","Record count","overall","count","integer","13148","standard_concept_name ; standard_concept_id","Hodgkin's disease (clinical)","4038835","cervical_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4038838","cs","overall","Record count","overall","count","integer","28180","standard_concept_name ; standard_concept_id","Non-Hodgkin's lymphoma (clinical)","4038838","cervical_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4094548","cs","overall","Record count","overall","count","integer","1077","standard_concept_name ; standard_concept_id","Extramedullary plasmacytoma","4094548","cervical_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4134595","cs","overall","Record count","overall","count","integer","1583","standard_concept_name ; standard_concept_id","Chronic disease of genitourinary system","4134595","cervical_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4147164","cs","overall","Record count","overall","count","integer","456","standard_concept_name ; standard_concept_id","Malignant tumor of lymphoid hemopoietic and related tissue","4147164","cervical_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4147411","cs","overall","Record count","overall","count","integer","2360","standard_concept_name ; standard_concept_id","Follicular non-Hodgkin's lymphoma","4147411","cervical_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4225982","cs","overall","Record count","overall","count","integer","670","standard_concept_name ; standard_concept_id","Mature T-cell AND/OR NK cell neoplasm","4225982","cervical_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4247238","cs","overall","Record count","overall","count","integer","8326","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of endometrium","4247238","cervical_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4278365","cs","overall","Record count","overall","count","integer","957","standard_concept_name ; standard_concept_id","Langerhans cell histiocytosis","4278365","cervical_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","37017320","cs","overall","Record count","overall","count","integer","167","standard_concept_name ; standard_concept_id","Malignant neoplastic disease co-occurrent with human immunodeficiency virus infection","37017320","cervical_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","45770892","cs","overall","Record count","overall","count","integer","7660","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of uterus","45770892","cervical_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","192367","cs","overall","Person count","overall","count","integer","4788","standard_concept_name ; standard_concept_id","Dysplasia of cervix","192367","cervical_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","194611","cs","overall","Person count","overall","count","integer","653","standard_concept_name ; standard_concept_id","Carcinoma in situ of uterine cervix","194611","cervical_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","432851","cs","overall","Person count","overall","count","integer","233","standard_concept_name ; standard_concept_id","Secondary malignant neoplastic disease","432851","cervical_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","434592","cs","overall","Person count","overall","count","integer","1625","standard_concept_name ; standard_concept_id","B-cell lymphoma (clinical)","434592","cervical_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","442781","cs","overall","Person count","overall","count","integer","2247","standard_concept_name ; standard_concept_id","Disorder of uterine cervix","442781","cervical_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4003830","cs","overall","Person count","overall","count","integer","284","standard_concept_name ; standard_concept_id","Diffuse non-Hodgkin's lymphoma","4003830","cervical_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4038835","cs","overall","Person count","overall","count","integer","3854","standard_concept_name ; standard_concept_id","Hodgkin's disease (clinical)","4038835","cervical_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4038838","cs","overall","Person count","overall","count","integer","6047","standard_concept_name ; standard_concept_id","Non-Hodgkin's lymphoma (clinical)","4038838","cervical_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4094548","cs","overall","Person count","overall","count","integer","177","standard_concept_name ; standard_concept_id","Extramedullary plasmacytoma","4094548","cervical_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4134595","cs","overall","Person count","overall","count","integer","714","standard_concept_name ; standard_concept_id","Chronic disease of genitourinary system","4134595","cervical_cancer"
