"cdm_name","result_type","package_name","package_version","group_name","group_level","strata_name","strata_level","variable_name","variable_level","estimate_name","estimate_type","estimate_value","additional_name","Description","Concept ID","codelist"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","75512","cs","overall","Record count","overall","count","integer","600","standard_concept_name ; standard_concept_id","Carcinoma in situ of colon","75512","colorectal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","196064","cs","overall","Record count","overall","count","integer","496","standard_concept_name ; standard_concept_id","Carcinoma in situ of digestive organ","196064","colorectal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","196359","cs","overall","Record count","overall","count","integer","14798","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of uterine cervix","196359","colorectal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","432851","cs","overall","Record count","overall","count","integer","1212","standard_concept_name ; standard_concept_id","Secondary malignant neoplastic disease","432851","colorectal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","434592","cs","overall","Record count","overall","count","integer","6761","standard_concept_name ; standard_concept_id","B-cell lymphoma (clinical)","434592","colorectal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","442131","cs","overall","Record count","overall","count","integer","3819","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of head","442131","colorectal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","443568","cs","overall","Record count","overall","count","integer","2136","standard_concept_name ; standard_concept_id","Malignant neoplasm of gastrointestinal tract","443568","colorectal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4038835","cs","overall","Record count","overall","count","integer","13148","standard_concept_name ; standard_concept_id","Hodgkin's disease (clinical)","4038835","colorectal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4092077","cs","overall","Record count","overall","count","integer","115","standard_concept_name ; standard_concept_id","Malignant neoplasm of specified parts of peritoneum","4092077","colorectal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4094548","cs","overall","Record count","overall","count","integer","1077","standard_concept_name ; standard_concept_id","Extramedullary plasmacytoma","4094548","colorectal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4145825","cs","overall","Record count","overall","count","integer","136595","standard_concept_name ; standard_concept_id","Anorectal disorder","4145825","colorectal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4147164","cs","overall","Record count","overall","count","integer","456","standard_concept_name ; standard_concept_id","Malignant tumor of lymphoid hemopoietic and related tissue","4147164","colorectal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4225982","cs","overall","Record count","overall","count","integer","670","standard_concept_name ; standard_concept_id","Mature T-cell AND/OR NK cell neoplasm","4225982","colorectal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4241890","cs","overall","Record count","overall","count","integer","109","standard_concept_name ; standard_concept_id","Carcinoma in situ of rectosigmoid junction","4241890","colorectal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4246451","cs","overall","Record count","overall","count","integer","1824","standard_concept_name ; standard_concept_id","Secondary malignant neoplasm of brain","4246451","colorectal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4247962","cs","overall","Record count","overall","count","integer","464","standard_concept_name ; standard_concept_id","Secondary malignant neoplasm of gastrointestinal tract","4247962","colorectal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4278365","cs","overall","Record count","overall","count","integer","957","standard_concept_name ; standard_concept_id","Langerhans cell histiocytosis","4278365","colorectal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","75512","cs","overall","Person count","overall","count","integer","250","standard_concept_name ; standard_concept_id","Carcinoma in situ of colon","75512","colorectal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","196064","cs","overall","Person count","overall","count","integer","153","standard_concept_name ; standard_concept_id","Carcinoma in situ of digestive organ","196064","colorectal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","196359","cs","overall","Person count","overall","count","integer","5644","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of uterine cervix","196359","colorectal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","432851","cs","overall","Person count","overall","count","integer","233","standard_concept_name ; standard_concept_id","Secondary malignant neoplastic disease","432851","colorectal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","434592","cs","overall","Person count","overall","count","integer","1625","standard_concept_name ; standard_concept_id","B-cell lymphoma (clinical)","434592","colorectal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","442131","cs","overall","Person count","overall","count","integer","524","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of head","442131","colorectal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","443568","cs","overall","Person count","overall","count","integer","1311","standard_concept_name ; standard_concept_id","Malignant neoplasm of gastrointestinal tract","443568","colorectal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4038835","cs","overall","Person count","overall","count","integer","3854","standard_concept_name ; standard_concept_id","Hodgkin's disease (clinical)","4038835","colorectal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4092077","cs","overall","Person count","overall","count","integer","28","standard_concept_name ; standard_concept_id","Malignant neoplasm of specified parts of peritoneum","4092077","colorectal_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4094548","cs","overall","Person count","overall","count","integer","177","standard_concept_name ; standard_concept_id","Extramedullary plasmacytoma","4094548","colorectal_cancer"
