"cdm_name","result_type","package_name","package_version","group_name","group_level","strata_name","strata_level","variable_name","variable_level","estimate_name","estimate_type","estimate_value","additional_name","Description","Concept ID","codelist"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","76349","cs","overall","Record count","overall","count","integer","927","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of urinary system","76349","kidney_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","198091","cs","overall","Record count","overall","count","integer","183","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of retroperitoneum","198091","kidney_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","198104","cs","overall","Record count","overall","count","integer","316","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of adrenal gland","198104","kidney_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","257094","cs","overall","Record count","overall","count","integer","87","standard_concept_name ; standard_concept_id","Congenital anomaly of lung","257094","kidney_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","432851","cs","overall","Record count","overall","count","integer","1212","standard_concept_name ; standard_concept_id","Secondary malignant neoplastic disease","432851","kidney_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","433716","cs","overall","Record count","overall","count","integer","7470","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of testis","433716","kidney_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","434592","cs","overall","Record count","overall","count","integer","6761","standard_concept_name ; standard_concept_id","B-cell lymphoma (clinical)","434592","kidney_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4038835","cs","overall","Record count","overall","count","integer","13148","standard_concept_name ; standard_concept_id","Hodgkin's disease (clinical)","4038835","kidney_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4094548","cs","overall","Record count","overall","count","integer","1077","standard_concept_name ; standard_concept_id","Extramedullary plasmacytoma","4094548","kidney_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4134595","cs","overall","Record count","overall","count","integer","1583","standard_concept_name ; standard_concept_id","Chronic disease of genitourinary system","4134595","kidney_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4147164","cs","overall","Record count","overall","count","integer","456","standard_concept_name ; standard_concept_id","Malignant tumor of lymphoid hemopoietic and related tissue","4147164","kidney_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4162115","cs","overall","Record count","overall","count","integer","394","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of adrenal cortex","4162115","kidney_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4162859","cs","overall","Record count","overall","count","integer","68","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of adrenal medulla","4162859","kidney_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4225982","cs","overall","Record count","overall","count","integer","670","standard_concept_name ; standard_concept_id","Mature T-cell AND/OR NK cell neoplasm","4225982","kidney_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4278365","cs","overall","Record count","overall","count","integer","957","standard_concept_name ; standard_concept_id","Langerhans cell histiocytosis","4278365","kidney_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","76349","cs","overall","Person count","overall","count","integer","317","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of urinary system","76349","kidney_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","198091","cs","overall","Person count","overall","count","integer","48","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of retroperitoneum","198091","kidney_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","198104","cs","overall","Person count","overall","count","integer","97","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of adrenal gland","198104","kidney_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","257094","cs","overall","Person count","overall","count","integer","25","standard_concept_name ; standard_concept_id","Congenital anomaly of lung","257094","kidney_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","432851","cs","overall","Person count","overall","count","integer","233","standard_concept_name ; standard_concept_id","Secondary malignant neoplastic disease","432851","kidney_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","433716","cs","overall","Person count","overall","count","integer","2014","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of testis","433716","kidney_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","434592","cs","overall","Person count","overall","count","integer","1625","standard_concept_name ; standard_concept_id","B-cell lymphoma (clinical)","434592","kidney_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4038835","cs","overall","Person count","overall","count","integer","3854","standard_concept_name ; standard_concept_id","Hodgkin's disease (clinical)","4038835","kidney_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4094548","cs","overall","Person count","overall","count","integer","177","standard_concept_name ; standard_concept_id","Extramedullary plasmacytoma","4094548","kidney_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4134595","cs","overall","Person count","overall","count","integer","714","standard_concept_name ; standard_concept_id","Chronic disease of genitourinary system","4134595","kidney_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4147164","cs","overall","Person count","overall","count","integer","155","standard_concept_name ; standard_concept_id","Malignant tumor of lymphoid hemopoietic and related tissue","4147164","kidney_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4162115","cs","overall","Person count","overall","count","integer","62","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of adrenal cortex","4162115","kidney_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4162859","cs","overall","Person count","overall","count","integer","21","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of adrenal medulla","4162859","kidney_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4225982","cs","overall","Person count","overall","count","integer","163","standard_concept_name ; standard_concept_id","Mature T-cell AND/OR NK cell neoplasm","4225982","kidney_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4278365","cs","overall","Person count","overall","count","integer","202","standard_concept_name ; standard_concept_id","Langerhans cell histiocytosis","4278365","kidney_cancer"
