"concept_id","found_from","concept_name","domain_id","vocabulary_id","standard_concept"
36519688,"From initial search","Solitary fibrous tumor, malignant of ovary","Condition","ICDO3","standard"
4116073,"From initial search","Malignant epithelial tumor of ovary","Condition","SNOMED","standard"
4116074,"From initial search","Malignant sex cord tumor of ovary","Condition","SNOMED","standard"
36403097,"From initial search","Sex cord tumor with annular tubules, malignant of ovary","Condition","ICDO3","standard"
44501034,"From initial search","Brenner tumor, malignant of ovary","Condition","ICDO3","standard"
42512021,"From initial search","Mixed tumor, malignant, NOS, of ovary","Condition","ICDO3","standard"
4181351,"From initial search","Malignant tumor of ovary","Condition","SNOMED","standard"
602306,"From descendants","Right ovarian primary mucinous cystadenocarcinoma","Condition","SNOMED","standard"
602307,"From descendants","Left ovarian primary mucinous cystadenocarcinoma","Condition","SNOMED","standard"
602310,"From descendants","Right ovarian primary endometrioid carcinoma","Condition","SNOMED","standard"
602311,"From descendants","Left ovarian primary endometrioid carcinoma","Condition","SNOMED","standard"
4110863,"From descendants","Undifferentiated carcinoma of ovary","Condition","SNOMED","standard"
4112856,"From descendants","Mucinous cystadenocarcinoma of ovary","Condition","SNOMED","standard"
4112857,"From descendants","Endometrioid carcinoma ovary","Condition","SNOMED","standard"
4198275,"From descendants","Cystadenocarcinoma of ovary","Condition","SNOMED","standard"
4230544,"From descendants","Krukenberg tumor","Condition","SNOMED","standard"
35621826,"From descendants","Clear cell adenocarcinoma of ovary","Condition","SNOMED","standard"
36403096,"From descendants","Papillary pseudomucinous cystadenocarcinoma of ovary","Condition","ICDO3","standard"
36517442,"From descendants","Adenocarcinoma in tubulovillous adenoma of ovary","Condition","ICDO3","standard"
36518615,"From descendants","Carcinoma simplex of ovary","Condition","ICDO3","standard"
36522016,"From descendants","Adenoid cystic carcinoma of ovary","Condition","ICDO3","standard"
36524110,"From descendants","Villous adenocarcinoma of ovary","Condition","ICDO3","standard"
36527293,"From descendants","Superficial spreading adenocarcinoma of ovary","Condition","ICDO3","standard"
