"concept_id","found_from","concept_name","domain_id","vocabulary_id","standard_concept"
200962,"From initial search","Primary malignant neoplasm of prostate","Condition","SNOMED","standard"
36712762,"From initial search","Recurrent malignant neoplasm of prostate","Condition","SNOMED","standard"
44502000,"From initial search","Neoplasm, malignant of prostate gland","Condition","ICDO3","standard"
4163261,"From initial search","Malignant tumor of prostate","Condition","SNOMED","standard"
36519333,"From initial search","Solitary fibrous tumor, malignant of prostate gland","Condition","ICDO3","standard"
4200890,"From initial search","Local recurrence of malignant tumor of prostate","Condition","SNOMED","standard"
36536835,"From initial search","Malignant peripheral nerve sheath tumor, NOS, of prostate gland","Condition","ICDO3","standard"
4082919,"From descendants","Endometrioid carcinoma of prostate","Condition","SNOMED","standard"
4116087,"From descendants","Carcinoma of prostate","Condition","SNOMED","standard"
4161028,"From descendants","Adenocarcinoma of prostate","Condition","SNOMED","standard"
36517801,"From descendants","Superficial spreading adenocarcinoma of prostate gland","Condition","ICDO3","standard"
36519069,"From descendants","Schneiderian carcinoma of prostate gland","Condition","ICDO3","standard"
36519743,"From descendants","Adenocarcinoma in tubulovillous adenoma of prostate gland","Condition","ICDO3","standard"
36520216,"From descendants","Cloacogenic carcinoma of prostate gland","Condition","ICDO3","standard"
36520903,"From descendants","Adenocarcinoma with cartilaginous and osseous metaplasia of prostate gland","Condition","ICDO3","standard"
36522940,"From descendants","Malignant fibrous histiocytoma of prostate gland","Condition","ICDO3","standard"
36525240,"From descendants","Rhabdoid tumor, NOS, of prostate gland","Condition","ICDO3","standard"
36528487,"From descendants","Basaloid carcinoma of prostate gland","Condition","ICDO3","standard"
36529044,"From descendants","Papillary carcinoma, NOS, of prostate gland","Condition","ICDO3","standard"
36533689,"From descendants","Pleomorphic carcinoma of prostate gland","Condition","ICDO3","standard"
36535056,"From descendants","Adenocarcinoma with squamous metaplasia of prostate gland","Condition","ICDO3","standard"
36538788,"From descendants","Adenocarcinoma in villous adenoma of prostate gland","Condition","ICDO3","standard"
36538823,"From descendants","Epithelioma, malignant of prostate gland","Condition","ICDO3","standard"
36539709,"From descendants","Solid carcinoma, NOS, of prostate gland","Condition","ICDO3","standard"
36540664,"From descendants","Adenoid cystic carcinoma of prostate gland","Condition","ICDO3","standard"
36543338,"From descendants","Villous adenocarcinoma of prostate gland","Condition","ICDO3","standard"
36543398,"From descendants","Urothelial carcinoma, micropapillary of prostate gland","Condition","ICDO3","standard"
36547882,"From descendants","Myoepithelial carcinoma of prostate gland","Condition","ICDO3","standard"
36550618,"From descendants","Scirrhous adenocarcinoma of prostate gland","Condition","ICDO3","standard"
36550817,"From descendants","Alveolar adenocarcinoma of prostate gland","Condition","ICDO3","standard"
36551411,"From descendants","Oxyphilic adenocarcinoma of prostate gland","Condition","ICDO3","standard"
36552560,"From descendants","Adenocarcinoma with apocrine metaplasia of prostate gland","Condition","ICDO3","standard"
36553778,"From descendants","Verrucous carcinoma, NOS, of prostate gland","Condition","ICDO3","standard"
36554139,"From descendants","Tubular adenocarcinoma of prostate gland","Condition","ICDO3","standard"
36555690,"From descendants","Epithelial-myoepithelial carcinoma of prostate gland","Condition","ICDO3","standard"
36556099,"From descendants","Metaplastic carcinoma, NOS, of prostate gland","Condition","ICDO3","standard"
36563396,"From descendants","Lymphoepithelial carcinoma of prostate gland","Condition","ICDO3","standard"
