"cdm_name","result_type","package_name","package_version","group_name","group_level","strata_name","strata_level","variable_name","variable_level","estimate_name","estimate_type","estimate_value","additional_name","Description","Concept ID","codelist"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","78097","cs","overall","Record count","overall","count","integer","10505","standard_concept_name ; standard_concept_id","Secondary malignant neoplasm of bone","78097","thyroid_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","434592","cs","overall","Record count","overall","count","integer","6761","standard_concept_name ; standard_concept_id","B-cell lymphoma (clinical)","434592","thyroid_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","438368","cs","overall","Record count","overall","count","integer","353","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of thymus","438368","thyroid_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4038835","cs","overall","Record count","overall","count","integer","13148","standard_concept_name ; standard_concept_id","Hodgkin's disease (clinical)","4038835","thyroid_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4094548","cs","overall","Record count","overall","count","integer","1077","standard_concept_name ; standard_concept_id","Extramedullary plasmacytoma","4094548","thyroid_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4114222","cs","overall","Record count","overall","count","integer","7523","standard_concept_name ; standard_concept_id","Malignant tumor of head and neck","4114222","thyroid_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4147164","cs","overall","Record count","overall","count","integer","456","standard_concept_name ; standard_concept_id","Malignant tumor of lymphoid hemopoietic and related tissue","4147164","thyroid_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4162253","cs","overall","Record count","overall","count","integer","509932","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of breast","4162253","thyroid_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4187850","cs","overall","Record count","overall","count","integer","145","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of breast upper outer quadrant","4187850","thyroid_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4225982","cs","overall","Record count","overall","count","integer","670","standard_concept_name ; standard_concept_id","Mature T-cell AND/OR NK cell neoplasm","4225982","thyroid_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4278365","cs","overall","Record count","overall","count","integer","957","standard_concept_name ; standard_concept_id","Langerhans cell histiocytosis","4278365","thyroid_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","78097","cs","overall","Person count","overall","count","integer","2690","standard_concept_name ; standard_concept_id","Secondary malignant neoplasm of bone","78097","thyroid_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","434592","cs","overall","Person count","overall","count","integer","1625","standard_concept_name ; standard_concept_id","B-cell lymphoma (clinical)","434592","thyroid_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","438368","cs","overall","Person count","overall","count","integer","85","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of thymus","438368","thyroid_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4038835","cs","overall","Person count","overall","count","integer","3854","standard_concept_name ; standard_concept_id","Hodgkin's disease (clinical)","4038835","thyroid_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4094548","cs","overall","Person count","overall","count","integer","177","standard_concept_name ; standard_concept_id","Extramedullary plasmacytoma","4094548","thyroid_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4114222","cs","overall","Person count","overall","count","integer","1429","standard_concept_name ; standard_concept_id","Malignant tumor of head and neck","4114222","thyroid_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4147164","cs","overall","Person count","overall","count","integer","155","standard_concept_name ; standard_concept_id","Malignant tumor of lymphoid hemopoietic and related tissue","4147164","thyroid_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4162253","cs","overall","Person count","overall","count","integer","76805","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of breast","4162253","thyroid_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4187850","cs","overall","Person count","overall","count","integer","52","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of breast upper outer quadrant","4187850","thyroid_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4225982","cs","overall","Person count","overall","count","integer","163","standard_concept_name ; standard_concept_id","Mature T-cell AND/OR NK cell neoplasm","4225982","thyroid_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4278365","cs","overall","Person count","overall","count","integer","202","standard_concept_name ; standard_concept_id","Langerhans cell histiocytosis","4278365","thyroid_cancer"
