concept_id,found_from,concept_name,domain_id,vocabulary_id,standard_concept,include,prev
197806,From initial search,Primary malignant neoplasm of gallbladder,Condition,SNOMED,standard,n,n
3655606,From initial search,Malignant mesenchymal neoplasm of gallbladder,Condition,SNOMED,standard,n,n
36521297,From descendants,Malignant histiocytosis of lateral wall of bladder,Condition,ICDO3,standard,n,n
36527960,From descendants,Malignant mastocytosis of lateral wall of bladder,Condition,ICDO3,standard,n,n
36535335,From descendants,Mesodermal mixed tumor of lateral wall of bladder,Condition,ICDO3,standard,n,n
36562885,From descendants,Malignant fibrous histiocytoma of lateral wall of bladder,Condition,ICDO3,standard,n,n
36567900,From descendants,"Solitary fibrous tumor, malignant of lateral wall of bladder",Condition,ICDO3,standard,n,n
44499823,From descendants,"Paraganglioma, NOS, of lateral wall of bladder",Condition,ICDO3,standard,n,n
36546364,From descendants,Malignant histiocytosis of posterior wall of bladder,Condition,ICDO3,standard,n,n
36555875,From descendants,"Solitary fibrous tumor, malignant of posterior wall of bladder",Condition,ICDO3,standard,n,n
36562316,From descendants,Malignant fibrous histiocytoma of posterior wall of bladder,Condition,ICDO3,standard,n,n
36564564,From descendants,Mesodermal mixed tumor of posterior wall of bladder,Condition,ICDO3,standard,n,n
36564934,From descendants,Malignant mastocytosis of posterior wall of bladder,Condition,ICDO3,standard,n,n
36565879,From descendants,"Paraganglioma, NOS, of posterior wall of bladder",Condition,ICDO3,standard,n,n
602014,From descendants,Primary adenocarcinoma of ureteral orifice,Condition,SNOMED,standard,n,n
36520224,From descendants,"Papillary carcinoma, NOS, of ureteric orifice",Condition,ICDO3,standard,n,n
36520419,From descendants,Cloacogenic carcinoma of ureteric orifice,Condition,ICDO3,standard,n,n
36520464,From descendants,"Urothelial carcinoma, micropapillary of ureteric orifice",Condition,ICDO3,standard,n,n
36520692,From descendants,Hepatoid adenocarcinoma of ureteric orifice,Condition,ICDO3,standard,n,n
36521328,From descendants,Malignant fibrous histiocytoma of ureteric orifice,Condition,ICDO3,standard,n,n
36521854,From descendants,Schneiderian carcinoma of ureteric orifice,Condition,ICDO3,standard,n,n
36522563,From descendants,Mullerian mixed tumor of ureteric orifice,Condition,ICDO3,standard,n,n
36524295,From descendants,Scirrhous adenocarcinoma of ureteric orifice,Condition,ICDO3,standard,n,n
36525825,From descendants,Adenocarcinoma with mixed subtypes of ureteric orifice,Condition,ICDO3,standard,n,n
36527387,From descendants,"Solitary fibrous tumor, malignant of ureteric orifice",Condition,ICDO3,standard,n,n
36530658,From descendants,"Carcinoma, undifferentiated, NOS, of ureteric orifice",Condition,ICDO3,standard,n,n
36531109,From descendants,"Carcinoma, anaplastic, NOS, of ureteric orifice",Condition,ICDO3,standard,n,n
36532805,From descendants,Mesodermal mixed tumor of ureteric orifice,Condition,ICDO3,standard,n,n
36534767,From descendants,Superficial spreading adenocarcinoma of ureteric orifice,Condition,ICDO3,standard,n,n
36535147,From descendants,Pleomorphic carcinoma of ureteric orifice,Condition,ICDO3,standard,n,n
36537575,From descendants,Mucinous adenocarcinoma of ureteric orifice,Condition,ICDO3,standard,n,n
