concept_id,found_from,concept_name,domain_id,vocabulary_id,standard_concept,include,prev
36519688,From initial search,"Solitary fibrous tumor, malignant of ovary",Condition,ICDO3,standard,n,n
36403097,From initial search,"Sex cord tumor with annular tubules, malignant of ovary",Condition,ICDO3,standard,n,n
4230544,From descendants,Krukenberg tumor,Condition,SNOMED,standard,n,n
36674767,From descendants,Small cell carcinoma of ovary,Condition,SNOMED,standard,n,n
42512649,From descendants,Combined small cell carcinoma of ovary,Condition,ICDO3,standard,n,n
44499811,From descendants,Granular cell carcinoma of ovary,Condition,ICDO3,standard,n,n
4116075,From descendants,Malignant granulosa cell tumor of ovary,Condition,SNOMED,non-standard,n,n
4110870,From descendants,Endodermal sinus tumor of ovary,Condition,SNOMED,standard,n,n
4112865,From descendants,Choriocarcinoma of ovary,Condition,SNOMED,standard,n,n
4116076,From descendants,Embryonal carcinoma of ovary,Condition,SNOMED,standard,n,n
4116077,From descendants,Dysgerminoma of ovary,Condition,SNOMED,standard,n,n
4281029,From descendants,Malignant tumor involving left ovary by direct extension from uterus,Condition,SNOMED,standard,n,n
4281032,From descendants,Malignant tumor involving right ovary by direct extension from endometrium,Condition,SNOMED,standard,n,n
4281159,From descendants,Malignant tumor involving right ovary by direct extension from uterus,Condition,SNOMED,standard,n,n
4283750,From descendants,Malignant tumor involving right ovary by direct extension from uterine cervix,Condition,SNOMED,standard,n,n
4289391,From descendants,Malignant tumor involving left ovary by direct extension from endometrium,Condition,SNOMED,standard,n,n
4289522,From descendants,Malignant tumor involving right ovary by direct extension from vagina,Condition,SNOMED,standard,n,n
4289682,From descendants,Malignant tumor involving left ovary by direct extension from right ovary,Condition,SNOMED,standard,n,n
4289683,From descendants,Malignant tumor involving left ovary by direct extension from uterine cervix,Condition,SNOMED,standard,n,n
4289691,From descendants,Malignant tumor involving left ovary by direct extension from vagina,Condition,SNOMED,standard,n,n
36402466,From descendants,"Mullerian mixed tumor,uncertain behaviour of ovary",Condition,ICDO3,standard,n,n
36517655,From descendants,Teratocarcinoma of ovary,Condition,ICDO3,standard,n,n
36519879,From descendants,"Thecoma, malignant of ovary",Condition,ICDO3,standard,n,n
36522229,From descendants,"Trophoblastic tumor, epithelioid of ovary",Condition,ICDO3,standard,n,n
36522631,From descendants,Malignant mastocytosis of ovary,Condition,ICDO3,standard,n,n
36529012,From descendants,Polyembryoma of ovary,Condition,ICDO3,standard,n,n
36529632,From descendants,Malignant histiocytosis of ovary,Condition,ICDO3,standard,n,n
36539989,From descendants,"Mesonephroma, malignant of ovary",Condition,ICDO3,standard,n,n
36549316,From descendants,"Malignant teratoma, undifferentiated of ovary",Condition,ICDO3,standard,n,n
36554907,From descendants,"Malignant teratoma, intermediate of ovary",Condition,ICDO3,standard,n,n
36555512,From descendants,"Medulloepithelioma, NOS, of ovary",Condition,ICDO3,standard,n,n
36674976,From descendants,Hereditary site-specific ovarian cancer syndrome,Condition,SNOMED,standard,n,n
37311080,From descendants,Malignant immature teratoma of ovary,Condition,SNOMED,standard,n,n
37396690,From descendants,Primary non-gestational choriocarcinoma of ovary,Condition,SNOMED,standard,n,n
37397555,From descendants,Hereditary breast and ovarian cancer syndrome,Condition,SNOMED,standard,n,n
44499765,From descendants,Mesodermal mixed tumor of ovary,Condition,ICDO3,standard,n,n
44499996,From descendants,"Neoplasm, malignant, uncertain whether primary or metastatic of ovary",Condition,ICDO3,standard,n,n
44500093,From descendants,"Mesothelioma, malignant of ovary",Condition,ICDO3,standard,n,n
44500161,From descendants,"Rhabdoid tumor, NOS, of ovary",Condition,ICDO3,standard,n,n
