concept_id,found_from,concept_name,domain_id,vocabulary_id,standard_concept,include,prev
36525746,From descendants,Malignant mastocytosis of thyroid gland,Condition,ICDO3,standard,n,n
36540855,From descendants,Intrathyroid thymic carcinoma of thyroid gland,Condition,ICDO3,standard,n,n
36551231,From descendants,Malignant fibrous histiocytoma of thyroid gland,Condition,ICDO3,standard,n,n
36560484,From descendants,Malignant histiocytosis of thyroid gland,Condition,ICDO3,standard,n,n
42511620,From descendants,"Struma ovarii, malignant of thyroid gland",Condition,ICDO3,standard,n,n
42512086,From descendants,"Papillary carcinoma follicular variant, in situ follicular variant (C73.9) of thyroid gland",Condition,ICDO3,standard,n,n
42512117,From descendants,Teratocarcinoma of thyroid gland,Condition,ICDO3,standard,n,n
4200884,From initial search,Local recurrence of malignant tumor of thyroid gland,Condition,SNOMED,standard,n,y
4178976,From initial search,Malignant tumor of thyroid gland,Condition,SNOMED,standard,y,y
133424,From descendants,Primary malignant neoplasm of thyroid gland,Condition,SNOMED,standard,y,y
4111010,From descendants,Follicular thyroid carcinoma,Condition,SNOMED,standard,y,y
4111011,From descendants,Medullary thyroid carcinoma,Condition,SNOMED,standard,y,y
4112985,From descendants,Anaplastic thyroid carcinoma,Condition,SNOMED,standard,y,y
4116228,From descendants,Papillary thyroid carcinoma,Condition,SNOMED,standard,y,y
4116229,From descendants,Mixed follicular and papillary thyroid carcinoma,Condition,SNOMED,standard,y,y
4312667,From descendants,Thyroid cancer metastatic to bone,Condition,SNOMED,standard,n,y
36521785,From descendants,Superficial spreading adenocarcinoma of thyroid gland,Condition,ICDO3,standard,y,y
36526998,From descendants,Adenocarcinoma in tubulovillous adenoma of thyroid gland,Condition,ICDO3,standard,y,y
36529264,From descendants,Alveolar adenocarcinoma of thyroid gland,Condition,ICDO3,standard,y,y
36530784,From descendants,Carcinoma simplex of thyroid gland,Condition,ICDO3,standard,y,y
36532156,From descendants,Mucinous adenocarcinoma of thyroid gland,Condition,ICDO3,standard,y,y
36532595,From descendants,Villous adenocarcinoma of thyroid gland,Condition,ICDO3,standard,y,y
36532894,From descendants,Scirrhous adenocarcinoma of thyroid gland,Condition,ICDO3,standard,y,y
36534805,From descendants,Pleomorphic carcinoma of thyroid gland,Condition,ICDO3,standard,y,y
36536383,From descendants,Spindle epithelial tumor with thymus-like element of thyroid gland,Condition,ICDO3,standard,y,y
36541044,From descendants,Myoepithelial carcinoma of thyroid gland,Condition,ICDO3,standard,y,y
36541083,From descendants,Mucoepidermoid carcinoma of thyroid gland,Condition,ICDO3,standard,y,y
36544874,From descendants,"Solid carcinoma, NOS, of thyroid gland",Condition,ICDO3,standard,y,y
36551707,From descendants,Trabecular adenocarcinoma of thyroid gland,Condition,ICDO3,standard,y,y
36552156,From descendants,Fetal adenocarcinoma of thyroid gland,Condition,ICDO3,standard,y,y
36556647,From descendants,"Metaplastic carcinoma, NOS, of thyroid gland",Condition,ICDO3,standard,y,y
36559752,From descendants,"Epithelioma, malignant of thyroid gland",Condition,ICDO3,standard,y,y
36561704,From descendants,Adenocarcinoma in villous adenoma of thyroid gland,Condition,ICDO3,standard,y,y
36561819,From descendants,Mixed medullary-follicular carcinoma of thyroid gland,Condition,ICDO3,standard,y,y
36676291,From descendants,Primary differentiated carcinoma of thyroid gland,Condition,SNOMED,standard,y,y
36713418,From descendants,Papillary thyroid carcinoma with renal papillary neoplasia,Condition,SNOMED,standard,y,y
37110332,From descendants,Primary poorly differentiated carcinoma of thyroid gland,Condition,SNOMED,standard,y,y
37110333,From descendants,Primary undifferentiated carcinoma of thyroid gland,Condition,SNOMED,standard,y,y
37206370,From descendants,Familial nonmedullary thyroid carcinoma,Condition,SNOMED,standard,y,y
37396743,From descendants,Familial papillary thyroid carcinoma with renal papillary neoplasia syndrome,Condition,SNOMED,standard,y,y
40488900,From descendants,Carcinoma of thyroid,Condition,SNOMED,standard,y,y
42512526,From descendants,Adenoid cystic carcinoma of thyroid gland,Condition,ICDO3,standard,y,y
42512559,From descendants,Non-invasive EFVPTC of thyroid gland,Condition,ICDO3,standard,y,y
42512900,From descendants,"Follicular carcinoma, encapsulated, angioinvasive of thyroid gland",Condition,ICDO3,standard,y,y
